ID,Finca,Derechos,Plano_cat,Año,Area_re,Provincia,Canton,Distrito,Latitud,Longitud
75,1-00547774,1,SJ-2281053-2021,2021,977,San Jose,Santa Ana,Pozos,9.938333333,-84.39603611
76,1-00419969,6,SJ-2281053-2022,2022,30623.79,San Jose,Santa Ana,Brasil,9.938377778,-84.39603611
77,2-00520295,1,A-1755320-2014,2014,983489,Alajuela,Atenas y Orotina,jesus y Hacienda Vieja,9.937686111,-84.40103611
78,2-00194160,1,A-1755320-2015,2015,71320.27,Alajuela,Alajuela,Pozos,9.9371,-84.40230556
79,2-00533451,1,A-1814368-2015,2015,126941,Alajuela,Alajuela,Pozos,9.937119444,-84.40328333
80,1-00234647-A,1,A-1814368-2016,2016,5694.24,San Jose,Santa Ana,Brasil,9.937119444,-84.40328333
81,2-00146780,1,A-1814368-2017,2017,128.74,Alajuela,Orotina,Hacienda Vieja,9.936861111,-84.40411667
82,2-00374962,1,A-0598749-1999,1999,480.44,Alajuela,Orotina ,Orotina ,9.936861111,-84.40411667
83,2-00357278,1,A-0576028-1999,1999,484.6,Alajuela,Orotina ,Orotina ,9.937261111,-84.40592222
84,2-00357279,1,A-0576030-1999,1999,696.48,Alajuela,Orotina ,Orotina ,9.935983333,-84.40723333
85,2-00261269,3,A-0739181-1988,1988,314006.32,Alajuela,Orotina,Orotina ,9.936252778,-84.40894444
86,2-00247227,1,A-1675164-2013,2013,125518,Alajuela,Orotina,Orotina ,9.937227778,-84.41225278
87,2-00284415,1,A-0922119-2004,2004,71737.9,Alajuela,Orotina,Mastate,9.936919444,-84.41305556
88,2-00393528,1,A-0335391-1996,1996,1504.87,Alajuela,Orotina,Coyolar,9.936352778,-84.41363056
89,2-00555445,1,A-1917706-2016,2016,195,Alajuela,Orotina,Coyolar,9.936352778,-84.41363056
90,2-00418114,4,A-0921635-2004,2004,813.92,Alajuela,Orotina,Coyolar,9.935697222,-84.42620278
91,2-00341123,1,A-0337377-1996,1996,1360.49,Alajuela,Orotina,Coyolar,9.92825,-84.44651667
92,2-00341122 ,2,A-0113099-1993,1993,685.09,Alajuela,Orotina,Coyolar,9.928352778,-84.44686111
93,2-00380979,2,A-0789774-2002,2002,104190.81,Alajuela,Orotina,Coyolar,9.928469444,-84.44731944
94,2-00284678,2,A-1659753-2013,2013,95543,Alajuela,Orotina,La Ceiba,9.928583333,-84.44770278
95,2-00309073,2,A-0303176-1996,1996,1740.96,Alajuela,Orotina,La Ceiba,9.928658333,-84.44906389
96,2-00448467,1,A-0667022-2000,2000,1510.49,Alajuela,Orotina,La Ceiba,9.928763889,-84.44869444
97,2-00450486,1,A-0636593-2000,2000,3304.54,Alajuela,Orotina,La Ceiba,9.928669444,-4.454455556
98,2-00464653,1,A-0415146-1997,1997,1043.46,Alajuela,Orotina,La Ceiba,9.928669444,-84.45583333
99,2-00450725,1,A-0955529-2004,2004,1122.52,Alajuela,Orotina,La Ceiba,9.924938889,-84.46593889
100,2-00452506,1,A-1322947-2009,2009,1147.62,Alajuela,Orotina,La Ceiba,9.924938889,-84.46611389
101,2-00499129,2,A-1121626-2006,2006,1229.08,Alajuela,Orotina,La Ceiba,9.924152778,-84.46738611
102,2-00283196,1,A-1217014-2008,2008,32884.22,Alajuela,Orotina,La Ceiba,9.920861111,-84.46827778
103,2-00256291,1,A-1506785-2011,2011,181180,Alajuela,Orotina,La Ceiba,9.920861111,-84.46827778
104,2-00543895,1,A-1837095-2015,2015,36275,Alajuela,Orotina,La Ceiba,9.921861111,-84.471375
105,2-00379613,1,A-0782569-2002,2002,138172.92,Alajuela,Orotina,La Ceiba,9.921313889,-84.47298611
106,6-00085765,2,A-0142611-1993,1993,36172.78,Puntarenas,Esparza,San Juan Grande,9.920127778,-84.47528333
107,2-00401339,1,A-0667022-2000,2000,1510.49,Alajuela,Orotina ,La Ceiba,9.920113889,-84.47604167
108,2-00570233,1,A-01972563-2017,2017,5826,Alajuela,Atenas,Escobal,9.919513889,-84.47706944
109,2-00284414,3,A-0144143-1993,1993,75700.87,Alajuela,Orotina ,Mastate,9.919513889,-84.47706944
110,2-00284421,1,A-1696320-2013,2013,100440,Alajuela,Orotina,La Ceiba,9.917091667,-84.71176944
